Rodada,GP,GC,SG,P
1,2,1,1,3
2,2,2,0,1
3,0,1,-1,0
4,1,1,0,1
5,1,1,0,1
6,0,1,-1,0
7,4,2,2,3
8,0,2,-2,0
9,1,4,-3,0
10,1,2,-1,0
11,0,1,-1,0
12,1,0,1,3
13,0,2,-2,0
14,0,1,-1,0
15,1,0,1,3
16,0,2,-2,0
17,1,3,-2,0
18,1,0,1,3
19,1,1,0,1
20,1,0,1,3
21,0,1,-1,0
22,1,1,0,1
23,4,2,2,3
24,5,1,4,3
25,1,4,-3,0
26,0,0,0,1
27,1,0,1,3
28,0,1,-1,0
29,1,2,-1,0
30,1,1,0,1
