Rodada,GP,GC,SG,P
1,1,1,0,1
2,1,1,0,1
3,0,0,0,1
4,1,0,1,3
5,1,1,0,1
6,1,0,1,3
7,1,0,1,3
8,0,0,0,1
9,2,0,2,3
10,0,0,0,1
11,3,2,1,3
12,1,0,1,3
13,1,0,1,3
14,3,0,3,3
15,0,2,-2,0
16,0,0,0,1
17,1,0,1,3
18,1,3,-2,0
19,1,1,0,1
20,0,1,-1,0
21,4,0,4,3
22,0,0,0,1
23,1,3,-2,0
24,3,1,2,3
25,0,2,-2,0
26,1,2,-1,0
27,2,1,1,3
28,0,1,-1,0
29,1,2,-1,0
30,4,1,3,3
