Rodada,GP,GC,SG,P
1,1,2,-1,0
2,1,0,1,3
3,3,0,3,3
4,2,1,1,3
5,0,2,-2,0
6,4,0,4,3
7,0,1,-1,0
8,1,1,0,1
9,0,1,-1,0
10,2,2,0,1
11,0,1,-1,0
12,1,0,1,3
13,0,0,0,1
14,1,0,1,3
15,0,0,0,1
16,0,1,-1,0
17,3,3,0,1
18,0,0,0,1
19,0,1,-1,0
20,1,1,0,1
21,0,3,-3,0
22,0,0,0,1
23,3,0,3,3
24,0,1,-1,0
25,1,1,0,1
26,0,0,0,1
27,0,2,-2,0
28,1,0,1,3
29,3,0,3,3
30,0,1,-1,0
