Rodada,GP,GC,SG,P
1,1,2,-1,0
2,1,2,-1,0
3,1,0,1,3
4,3,1,2,3
5,0,3,-3,0
6,2,3,-1,0
7,1,1,0,1
8,0,2,-2,0
9,0,0,0,1
10,2,2,0,1
11,1,0,1,3
12,1,2,-1,0
13,1,2,-1,0
14,1,1,0,1
15,0,2,-2,0
16,0,0,0,1
17,0,0,0,1
18,3,1,2,3
19,0,1,-1,0
20,4,0,4,3
21,3,0,3,3
22,1,1,0,1
23,2,4,-2,0
24,1,2,-1,0
25,0,1,-1,0
26,6,4,2,3
27,1,0,1,3
28,2,0,2,3
29,0,3,-3,0
30,0,1,-1,0
