Rodada,GP,GC,SG,P
1,1,0,1,3
2,0,1,-1,0
3,2,1,-1,0
4,3,3,0,1
5,4,1,3,3
6,0,0,0,1
7,3,1,2,3
8,2,1,1,3
9,2,1,1,3
10,0,3,-3,0
11,3,1,2,3
12,5,1,4,3
13,2,1,1,3
14,0,2,-2,0
15,4,4,0,1
16,1,0,1,3
17,1,1,0,1
18,0,1,-1,0
19,2,1,1,3
20,1,2,-1,0
21,3,0,3,3
22,2,0,2,3
23,0,2,-2,0
24,1,0,1,3
25,1,1,0,1
26,2,3,-1,0
27,1,2,-1,0
28,0,3,-3,0
29,3,2,1,3
30,4,3,1,3
