Rodada,GP,GC,SG,P
1,0,0,0,1
2,0,1,-1,0
3,3,1,2,3
4,1,0,1,3
5,2,0,2,3
6,0,1,-1,0
7,1,1,0,1
8,0,0,0,1
9,0,0,0,1
10,0,0,0,1
11,2,0,2,3
12,0,0,0,1
13,2,0,2,3
14,1,1,0,1
15,1,0,1,3
16,0,0,0,1
17,2,0,2,3
18,3,0,3,3
19,1,1,0,1
20,2,1,1,3
21,0,0,0,1
22,2,1,1,3
23,5,1,4,3
24,0,2,-2,0
25,2,2,0,1
26,0,1,-1,0
27,0,2,-2,0
28,2,1,1,3
29,2,1,1,3
30,0,2,-2,0
